x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
-14,-1,-8,-1,-3,-1,-1,0,-1,0,-1,0,-1,1,-1,1,1,1,1,0,2,1,2,2,4,2,6,-2,14,-2,1,0,0,0,0
12,0,11,0,9,0,8,0,6,0,4,0,2,0,1,0,-2,0,-5,0,-7,0,-8,0,-9,0,-10,-1,-12,-1,1,0,0,0,0
-29,-2,-16,-1,-8,-2,-7,-1,-3,1,1,0,3,1,5,0,7,-1,8,0,8,0,8,0,8,0,8,0,7,1,1,0,0,0,0
17,1,15,0,12,0,6,0,5,0,4,0,1,0,0,0,-2,-1,-4,-1,-5,-1,-9,0,-10,0,-11,0,-12,0,1,0,0,0,0
26,0,23,-1,18,1,16,1,13,-1,10,-1,6,-1,1,2,-6,-1,-8,0,-12,-2,-16,2,-17,2,-24,2,-25,0,1,0,0,0,0
16,2,12,1,11,0,10,0,9,-1,4,-1,3,1,1,-1,-3,5,-7,-1,-8,-1,-10,0,-12,-1,-15,-2,-17,-2,1,0,0,0,0
22,-5,10,0,9,0,7,0,6,0,5,0,3,0,1,0,-4,1,-6,1,-7,1,-9,1,-10,1,-12,1,-14,1,1,0,0,0,0
-13,0,-13,0,-12,0,-9,1,-7,1,-3,1,0,0,2,0,4,0,4,0,5,1,7,0,11,1,13,1,13,1,1,0,0,0,0
-28,-1,-25,0,-21,1,-14,-2,-11,-1,-8,0,-5,0,-1,-1,2,-1,8,0,10,1,12,1,21,0,23,2,32,2,1,0,0,0,0
-13,2,-9,2,-9,1,-8,2,-8,1,-7,2,-1,1,0,1,-2,-2,-1,-2,8,-2,7,-2,10,-2,13,-3,14,-2,1,0,0,0,0
-10,0,-9,0,-8,0,-4,0,-3,0,-3,0,-2,0,-1,1,1,1,2,0,3,1,6,0,7,1,8,0,10,1,1,0,0,0,0
27,5,26,5,20,5,13,1,8,1,3,2,-1,2,-8,0,-9,1,-12,0,-13,-4,-14,-4,-15,-5,-15,-5,-15,-6,1,0,0,0,0
-19,-4,-18,-3,-12,-3,-11,-3,-9,-2,-8,-2,-4,-1,-1,1,0,1,2,2,10,3,12,3,14,3,16,3,21,3,1,0,0,0,0
-43,-7,-40,-5,-28,-4,-24,-2,-21,-3,-15,-2,-11,-3,-5,1,-2,2,5,2,10,3,36,3,43,4,46,5,52,5,1,0,0,0,0
6,1,8,-1,7,-1,7,0,3,1,2,1,1,0,1,-1,0,0,-3,0,-4,0,-4,-1,-8,0,-8,-2,-8,-2,1,0,0,0,0
-39,-5,-37,-5,-29,-3,-26,-2,-20,-1,-16,-1,-3,0,6,1,10,2,12,2,17,4,24,4,29,4,31,3,33,4,1,0,0,0,0
-14,-1,-13,-3,-12,-2,-10,-2,-8,-2,-7,-2,-1,1,0,1,0,3,2,2,7,1,8,1,11,1,16,2,18,2,1,0,0,0,0
-16,0,-14,0,-8,-1,-7,-1,-6,0,-2,0,-1,1,0,1,0,1,2,2,4,1,8,-1,10,-1,12,0,15,1,1,0,0,0,0
-20,3,-16,0,-14,0,-9,0,-7,1,-5,0,-4,0,0,0,3,-1,6,0,8,1,13,0,14,0,14,-1,18,0,1,0,0,0,0
27,0,24,2,22,3,18,0,12,1,7,4,3,1,2,-1,-2,-2,-6,-2,-8,-1,-11,0,-25,-2,-29,-3,-31,-4,1,0,0,0,0
-19,0,-18,-1,-15,0,-10,0,-8,-1,-6,0,-3,-1,1,-1,3,0,5,-2,9,1,10,1,13,3,19,4,21,3,1,0,0,0,0
-18,2,-15,2,-14,2,-10,1,-8,1,-6,0,-4,0,-3,0,0,0,8,0,11,0,12,0,13,0,15,-1,17,0,1,0,0,0,0
12,0,11,0,10,0,5,0,4,1,2,1,1,0,0,0,0,0,0,0,-4,0,-6,0,-7,0,-10,1,-11,0,1,0,0,0,0
-18,-3,-11,0,-10,-1,-8,-1,-4,0,-4,0,-3,0,-1,-1,1,-1,2,0,3,0,7,0,10,0,16,1,18,0,1,0,0,0,0
23,3,20,1,18,1,16,0,14,0,12,0,6,1,3,0,0,1,-6,1,-14,0,-19,0,-23,-1,-25,-1,-32,0,1,0,0,0,0
39,5,35,5,29,4,25,6,16,3,12,4,2,1,-3,0,-9,1,-14,-2,-21,-4,-24,-4,-25,-5,-29,-5,-30,-5,1,0,0,0,0
30,-2,28,-2,21,-1,16,-1,13,-1,10,-1,1,0,-2,-1,-4,0,-6,0,-16,2,-20,2,-22,2,-23,2,-25,4,1,0,0,0,0
